MicroHit	TaxHit	HitID	Class
Rhizobium sp. S41	Rhizobium sp. S41	MRH831	bacteria
Kocuria varians	Kocuria varians	MRH832	bacteria
Corynebacterium sp. Marseille-Q3630	Corynebacterium incognita	MRH833	bacteria
Corynebacterium resistens	Corynebacterium resistens	MRH834	bacteria
Corynebacterium urealyticum	Corynebacterium urealyticum	MRH835	bacteria
Corynebacterium testudinoris	Corynebacterium testudinoris	MRH836	bacteria
Azospirillum brasilense	Azospirillum brasilense	MRH837	bacteria
Xanthomonas arboricola	Xanthomonas arboricola	MRH838	bacteria
Kingella oralis	Kingella oralis	MRH839	bacteria
Granulicatella adiacens	Granulicatella adiacens	MRH840	bacteria
Trematosphaeria	Trematosphaeria	MRH841	fungus
Trematosphaeria pertusa	Trematosphaeria pertusa	MRH842	fungus
Mycobacterium avium	Mycobacterium avium	MRH843	bacteria
Skermanella	Skermanella	MRH844	bacteria
Prevotella denticola	Prevotella denticola	MRH845	bacteria
Anaerococcus vaginalis	Anaerococcus vaginalis	MRH846	bacteria
Ligilactobacillus	Ligilactobacillus	MRH847	bacteria
Pseudomonas sp.	Pseudomonas sp.	MRH848	bacteria
Pseudomonas veronii	Pseudomonas veronii	MRH849	bacteria
Actinomyces gerencseriae	Actinomyces gerencseriae	MRH850	bacteria
Leptotrichia hongkongensis	Leptotrichia hongkongensis	MRH851	bacteria
Duganella	Duganella	MRH852	bacteria
Neisseria subflava	Neisseria subflava	MRH853	bacteria
Bifidobacterium adolescentis	Bifidobacterium adolescentis	MRH854	bacteria
Bifidobacterium thermophilum	Bifidobacterium thermophilum	MRH855	bacteria
Epicoccum	Epicoccum	MRH856	fungus
Carnobacterium	Carnobacterium	MRH857	bacteria
Aeromonas media	Aeromonas media	MRH858	bacteria
Sphingomonas taxi	Sphingomonas taxi	MRH859	bacteria
Sphingomonas koreensis	Sphingomonas koreensis	MRH860	bacteria
Ochrobactrum pseudogrignonense	Brucella pseudogrignonensis	MRH861	bacteria
Cyberlindnera	Cyberlindnera	MRH862	fungus
Cyberlindnera jadinii	Cyberlindnera jadinii	MRH863	fungus
Mesorhizobium terrae	Mesorhizobium terrae	MRH864	bacteria
Olsenella	Olsenella	MRH865	bacteria
Olsenella uli	Olsenella uli	MRH866	bacteria
Thermus brockianus	Thermus brockianus	MRH867	bacteria
Thermus thermophilus	Thermus thermophilus	MRH868	bacteria
Thermus parvatiensis	Thermus parvatiensis	MRH869	bacteria
Mobiluncus	Mobiluncus	MRH870	bacteria
Afipia	Afipia	MRH871	bacteria
Pichia	Pichia	MRH872	fungus
Phreatobacter sp. NMCR1094	Phreatobacter sp. NMCR1094	MRH873	bacteria
Methylorubrum zatmanii	Methylorubrum zatmanii	MRH874	bacteria
Arachnia	Arachnia	MRH875	bacteria
Pseudopropionibacterium propionicum	Arachnia propionica	MRH876	bacteria
Microlunatus phosphovorus	Microlunatus phosphovorus	MRH877	bacteria
Microbacterium paraoxydans	Microbacterium paraoxydans	MRH878	bacteria
Tannerella	Tannerella	MRH879	bacteria
Tannerella sp. oral taxon HOT-286	Tannerella serpentiformis	MRH880	bacteria
Dickeya	Dickeya	MRH881	bacteria
Nocardioides daphniae	Nocardioides daphniae	MRH882	bacteria
Bacillus anthracis	Bacillus anthracis	MRH883	bacteria
non-genus-specific reads in family Lachnospiraceae	Lachnospiraceae	MRH884	bacteria
Diaphorobacter polyhydroxybutyrativorans	Diaphorobacter nitroreducens	MRH885	bacteria
Tabrizicola	Tabrizicola	MRH886	bacteria
Tabrizicola piscis	Tabrizicola piscis	MRH887	bacteria
Actinobacillus	Actinobacillus	MRH888	bacteria
